"Severity","Appender","Date","Time","Category","Message"
"ERROR","TOYSFORSHOTS","09/15/2011","12:32:31","ROOT","Page Not Found"
"WARN","TOYSFORSHOTS","09/15/2011","12:34:57","coldbox.system.interceptors.SES","Invalid Extension Detected: cfm detected but it is not in the valid extension list: json,jsont,xml,html,htm,rss"
"WARN","TOYSFORSHOTS","09/15/2011","12:35:49","coldbox.system.interceptors.SES","Invalid Extension Detected: cfm detected but it is not in the valid extension list: json,jsont,xml,html,htm,rss"
"WARN","TOYSFORSHOTS","09/15/2011","12:35:49","ROOT","Invalid Event: foo.cfm.index"
"WARN","TOYSFORSHOTS","09/15/2011","12:36:04","coldbox.system.interceptors.SES","Invalid Extension Detected: cfm detected but it is not in the valid extension list: json,jsont,xml,html,htm,rss"
"WARN","TOYSFORSHOTS","09/15/2011","12:36:04","ROOT","Invalid Event: foo.cfm.index"
"WARN","TOYSFORSHOTS","09/15/2011","12:36:24","ROOT","Invalid Event: foo.index"
"WARN","TOYSFORSHOTS","09/15/2011","12:36:28","ROOT","Invalid Event: foo.index"
"WARN","TOYSFORSHOTS","09/15/2011","12:37:23","coldbox.system.interceptors.SES","Invalid Extension Detected: cfm detected but it is not in the valid extension list: json,jsont,xml,html,htm,rss"
"WARN","TOYSFORSHOTS","09/15/2011","12:37:23","ROOT","Invalid Event: foo.bar.cfm"
